id_colaborador,comentarios_soft_skills,avaliacao_pessoal_texto,data
11,Boa comunicação e trabalho em equipe,Desempenho consistente,2025-09-10
12,Precisa melhorar proatividade,Alta performance,2026-04-11
13,Boa comunicação e trabalho em equipe,Alta performance,2026-03-28
14,Excelente liderança,Alta performance,2025-10-16
15,Bom relacionamento interpessoal,Em evolução,2025-12-21
16,Bom relacionamento interpessoal,Em evolução,2026-01-28
17,Precisa melhorar proatividade,Desempenho consistente,2025-06-17
18,Bom relacionamento interpessoal,Em evolução,2025-08-14
19,Precisa melhorar proatividade,Em evolução,2025-09-01
20,Excelente liderança,Precisa de desenvolvimento,2025-12-16
21,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-11-29
22,Precisa melhorar proatividade,Desempenho consistente,2025-09-11
23,Excelente liderança,Alta performance,2025-06-02
24,Bom relacionamento interpessoal,Alta performance,2025-09-04
25,Excelente liderança,Em evolução,2025-10-11
26,Bom relacionamento interpessoal,Desempenho consistente,2025-12-25
27,Bom relacionamento interpessoal,Alta performance,2025-07-05
28,Excelente liderança,Alta performance,2026-04-14
29,Bom relacionamento interpessoal,Alta performance,2026-04-21
30,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-11-30
31,Precisa melhorar proatividade,Alta performance,2026-01-03
32,Precisa melhorar proatividade,Alta performance,2025-05-13
33,Precisa melhorar proatividade,Desempenho consistente,2025-06-08
34,Boa comunicação e trabalho em equipe,Alta performance,2025-09-12
35,Boa comunicação e trabalho em equipe,Alta performance,2026-02-17
36,Boa comunicação e trabalho em equipe,Alta performance,2025-11-09
37,Bom relacionamento interpessoal,Em evolução,2026-01-13
38,Precisa melhorar proatividade,Alta performance,2025-07-28
39,Excelente liderança,Em evolução,2025-12-15
40,Bom relacionamento interpessoal,Alta performance,2025-11-03
41,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2026-03-18
42,Precisa melhorar proatividade,Em evolução,2025-05-14
43,Bom relacionamento interpessoal,Alta performance,2026-03-10
44,Bom relacionamento interpessoal,Desempenho consistente,2025-12-11
45,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-10-19
46,Excelente liderança,Precisa de desenvolvimento,2025-06-03
47,Excelente liderança,Desempenho consistente,2025-05-15
48,Precisa melhorar proatividade,Precisa de desenvolvimento,2026-04-13
49,Excelente liderança,Em evolução,2025-05-29
50,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-05-02
51,Excelente liderança,Precisa de desenvolvimento,2026-02-25
52,Precisa melhorar proatividade,Desempenho consistente,2026-04-06
53,Excelente liderança,Precisa de desenvolvimento,2026-02-25
54,Boa comunicação e trabalho em equipe,Em evolução,2025-07-24
55,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-09-05
56,Excelente liderança,Precisa de desenvolvimento,2025-06-29
57,Precisa melhorar proatividade,Precisa de desenvolvimento,2025-05-25
58,Boa comunicação e trabalho em equipe,Precisa de desenvolvimento,2025-06-14
59,Bom relacionamento interpessoal,Alta performance,2026-04-09
60,Excelente liderança,Em evolução,2025-09-10
61,Bom relacionamento interpessoal,Em evolução,2025-10-22
62,Boa comunicação e trabalho em equipe,Alta performance,2025-07-21
63,Excelente liderança,Desempenho consistente,2025-10-04
64,Excelente liderança,Em evolução,2026-02-22
65,Bom relacionamento interpessoal,Desempenho consistente,2025-05-21
66,Precisa melhorar proatividade,Desempenho consistente,2026-03-31
67,Excelente liderança,Em evolução,2026-02-20
68,Precisa melhorar proatividade,Desempenho consistente,2025-07-16
69,Precisa melhorar proatividade,Em evolução,2025-12-27
70,Excelente liderança,Em evolução,2025-06-24
71,Boa comunicação e trabalho em equipe,Alta performance,2026-02-10
72,Precisa melhorar proatividade,Alta performance,2026-01-26
73,Boa comunicação e trabalho em equipe,Desempenho consistente,2026-02-17
74,Boa comunicação e trabalho em equipe,Alta performance,2025-12-25
75,Excelente liderança,Desempenho consistente,2026-01-26
76,Excelente liderança,Desempenho consistente,2026-02-20
77,Bom relacionamento interpessoal,Desempenho consistente,2026-03-24
